dataset,hypothesis,run_id,method,ari,gamma,n_eval
H2-Hard,H2,25,Optuna-TPE,0.8477046401040063,0.003388284493821433,15
H2-Hard,H2,26,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,26,Optuna-TPE,0.8477046401040063,0.001014291189563669,15
H2-Hard,H2,27,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,27,Optuna-TPE,0.8477046401040063,0.0011360006340848214,15
H2-Hard,H2,28,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,28,Optuna-TPE,0.8477046401040063,0.001155754189786241,15
H2-Hard,H2,29,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,29,Optuna-TPE,0.8477046401040063,0.0011023230915046642,15
Control-Balanced,Control,0,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,0,Optuna-TPE,0.996664808645439,0.001043343952414723,15
Control-Balanced,Control,1,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,1,Optuna-TPE,0.996664808645439,0.001056497841352004,15
Control-Balanced,Control,2,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,2,Optuna-TPE,0.996664808645439,0.001132184086991723,15
Control-Balanced,Control,3,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,3,Optuna-TPE,0.996664808645439,0.0012626665521941708,15
Control-Balanced,Control,4,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,4,Optuna-TPE,0.996664808645439,0.001032535755053712,15
Control-Balanced,Control,5,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,5,Optuna-TPE,0.996664808645439,0.001063639689500009,15
Control-Balanced,Control,6,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,6,Optuna-TPE,0.996664808645439,0.0010352630599474325,15
Control-Balanced,Control,7,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,7,Optuna-TPE,0.996664808645439,0.0011437897515012665,15
Control-Balanced,Control,8,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,8,Optuna-TPE,0.996664808645439,0.0010720793739375481,15
Control-Balanced,Control,9,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,9,Optuna-TPE,0.996664808645439,0.0011576335156465644,15
Control-Balanced,Control,10,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,10,Optuna-TPE,0.996664808645439,0.0010721128593066335,15
Control-Balanced,Control,11,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,11,Optuna-TPE,0.996664808645439,0.001042353439508851,15
Control-Balanced,Control,12,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,12,Optuna-TPE,0.996664808645439,0.001213455428886769,15
Control-Balanced,Control,13,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,13,Optuna-TPE,0.996664808645439,0.0010945811465973142,15
Control-Balanced,Control,14,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,14,Optuna-TPE,0.996664808645439,0.0010355446606907575,15
Control-Balanced,Control,15,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,15,Optuna-TPE,0.996664808645439,0.001002248207868087,15
Control-Balanced,Control,16,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,16,Optuna-TPE,0.996664808645439,0.0010564771133517849,15
Control-Balanced,Control,17,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,17,Optuna-TPE,0.996664808645439,0.0010684638083316605,15
Control-Balanced,Control,18,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,18,Optuna-TPE,0.996664808645439,0.001092347422971545,15
Control-Balanced,Control,19,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,19,Optuna-TPE,0.996664808645439,0.0013113726174813687,15
Control-Balanced,Control,20,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,20,Optuna-TPE,0.996664808645439,0.0012202826781935905,15
Control-Balanced,Control,21,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,21,Optuna-TPE,0.996664808645439,0.0010147059820426983,15
Control-Balanced,Control,22,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,22,Optuna-TPE,0.996664808645439,0.0011163290195133385,15
Control-Balanced,Control,23,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,23,Optuna-TPE,0.996664808645439,0.0015021055290108806,15
Control-Balanced,Control,24,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,24,Optuna-TPE,0.996664808645439,0.0011201424752887473,15
Control-Balanced,Control,25,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,25,Optuna-TPE,0.996664808645439,0.001135062844625946,15
Control-Balanced,Control,26,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,26,Optuna-TPE,0.996664808645439,0.001014291189563669,15
Control-Balanced,Control,27,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,27,Optuna-TPE,0.996664808645439,0.0011395576275316603,15
Control-Balanced,Control,28,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,28,Optuna-TPE,0.996664808645439,0.0010059069160232206,15
Control-Balanced,Control,29,Default-KP,0.996664808645439,1.1943955691454395,1
Control-Balanced,Control,29,Optuna-TPE,0.996664808645439,0.0011023172601763828,15
